Year,United States,Russia,United Kingdom,France,China,India,Pakistan,North Korea
1945,3,3,3,1,1,1,0,0
1946,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0
1955,1,1,1,1,0,0,0,0
1956,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0
1960,1,1,0,0,0,0,0,0
1961,1,1,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0
1967,1,1,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0
1972,1,1,0,0,0,0,0,0
1973,1,1,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0
1975,2,1,1,1,0,0,0,0
1976,1,0,1,1,0,0,0,0
1977,1,0,1,1,0,0,0,0
1978,1,0,1,1,0,0,0,0
1979,2,1,1,1,0,0,0,0
1980,1,0,1,1,0,0,0,0
1981,1,0,1,1,0,0,0,0
1982,1,0,1,1,0,0,0,0
1983,1,0,1,1,0,0,0,0
1984,1,0,1,1,0,0,0,0
1985,3,1,1,1,0,0,0,0
1986,3,2,1,1,0,0,0,0
1987,2,1,1,1,0,0,0,0
1988,3,2,1,1,0,0,0,0
1989,2,1,1,1,0,0,0,0
1990,4,3,1,1,0,0,0,0
1991,4,3,1,2,0,0,0,0
1992,2,1,1,2,1,1,1,1
1993,1,0,1,1,0,0,0,0
1994,2,0,1,1,0,0,0,0
1995,1,0,1,1,0,0,0,0
1996,2,0,1,1,0,0,0,0
1997,1,1,2,1,0,0,0,0
1998,2,1,2,1,0,0,0,0
1999,1,1,3,1,0,0,0,0
2000,2,2,3,2,1,1,1,2
2001,1,2,1,1,0,1,1,0
2002,1,1,2,1,0,0,0,0
2003,2,2,2,2,1,1,1,1
2006,2,2,2,2,1,1,1,1
2009,4,4,4,4,3,3,1,0
2013,2,2,2,2,1,1,0,0
2016,2,1,2,2,1,1,0,0
2017,2,1,2,2,1,1,0,0
